GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_BB01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_BB02,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_BB03,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate: 10-20%,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Sum – 20-30%,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate: 30-40%,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1500000US380170009041,380170009041,"Block Group 1, Census Tract 9.04, Cass County, North Dakota",8,0,9,0,0,9,0,9,8,8,12,0,9,0,0,9,0,9,0,9,0,9,0,9
1500000US380170009042,380170009042,"Block Group 2, Census Tract 9.04, Cass County, North Dakota",511,74,69,254,87,66,167,86,81,26,26,55,47,0,0,9,0,9,15,23,77,50,10,17
1500000US380170009043,380170009043,"Block Group 3, Census Tract 9.04, Cass County, North Dakota",342,0,9,74,48,61,26,21,57,40,42,17,26,84,68,62,16,25,11,18,116,80,0,9
1500000US380170010011,380170010011,"Block Group 1, Census Tract 10.01, Cass County, North Dakota",1004,61,72,224,117,82,107,82,284,155,86,129,91,140,51,45,89,51,24,26,260,133,11,20
1500000US380170010012,380170010012,"Block Group 2, Census Tract 10.01, Cass County, North Dakota",119,11,17,0,0,9,0,9,33,0,9,33,37,63,63,57,0,9,0,9,12,20,0,9
1500000US380170010013,380170010013,"Block Group 3, Census Tract 10.01, Cass County, North Dakota",345,0,9,50,36,40,14,23,83,69,50,14,23,144,63,64,81,78,0,9,68,89,0,9
1500000US380170010021,380170010021,"Block Group 1, Census Tract 10.02, Cass County, North Dakota",648,60,53,118,71,45,47,34,109,48,36,61,40,83,19,16,64,48,106,68,159,82,13,21
1500000US380170010022,380170010022,"Block Group 2, Census Tract 10.02, Cass County, North Dakota",140,0,9,62,25,28,37,50,30,30,34,0,9,0,0,9,0,9,10,16,25,28,13,20
1500000US380170101061,380170101061,"Block Group 1, Census Tract 101.06, Cass County, North Dakota",952,56,60,130,27,43,103,80,375,137,78,238,121,97,66,47,31,34,73,53,221,110,0,9
1500000US380170101062,380170101062,"Block Group 2, Census Tract 101.06, Cass County, North Dakota",1400,27,31,501,147,96,354,162,300,170,108,130,85,169,122,111,47,37,135,78,214,124,54,64
1500000US380170101071,380170101071,"Block Group 1, Census Tract 101.07, Cass County, North Dakota",421,20,33,144,93,96,51,36,77,46,42,31,40,93,47,36,46,59,20,18,55,40,12,18
1500000US380170101072,380170101072,"Block Group 2, Census Tract 101.07, Cass County, North Dakota",823,0,9,290,150,79,140,71,335,153,121,182,100,64,27,28,37,39,0,9,134,87,0,9
1500000US380170101081,380170101081,"Block Group 1, Census Tract 101.08, Cass County, North Dakota",420,0,9,178,72,79,106,61,96,50,48,46,53,36,14,21,22,28,16,25,94,59,0,9
1500000US380170101082,380170101082,"Block Group 2, Census Tract 101.08, Cass County, North Dakota",1439,28,32,420,163,95,257,109,311,249,126,62,54,285,161,113,124,63,64,51,318,128,13,21
1500000US380170101091,380170101091,"Block Group 1, Census Tract 101.09, Cass County, North Dakota",331,14,23,53,23,39,30,44,148,52,42,96,75,33,0,9,33,44,0,9,83,65,0,9
1500000US380170101092,380170101092,"Block Group 2, Census Tract 101.09, Cass County, North Dakota",80,0,9,9,9,14,0,9,31,31,36,0,9,9,0,9,9,15,31,41,0,9,0,9
1500000US380170102011,380170102011,"Block Group 1, Census Tract 102.01, Cass County, North Dakota",0,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,0,9
1500000US380170102012,380170102012,"Block Group 2, Census Tract 102.01, Cass County, North Dakota",203,44,43,66,50,41,16,20,21,0,9,21,32,0,0,9,0,9,0,9,39,60,33,53
1500000US380170102013,380170102013,"Block Group 3, Census Tract 102.01, Cass County, North Dakota",112,53,65,21,21,36,0,9,12,12,20,0,9,0,0,9,0,9,0,9,11,17,15,24
1500000US380170102031,380170102031,"Block Group 1, Census Tract 102.03, Cass County, North Dakota",165,20,25,28,8,14,20,23,51,51,52,0,9,57,12,19,45,56,9,15,0,9,0,9
1500000US380170102032,380170102032,"Block Group 2, Census Tract 102.03, Cass County, North Dakota",271,0,9,89,16,19,73,67,111,67,55,44,58,35,35,35,0,9,8,13,28,32,0,9
1500000US380170102033,380170102033,"Block Group 3, Census Tract 102.03, Cass County, North Dakota",74,0,9,13,0,9,13,20,14,0,9,14,21,9,9,14,0,9,0,9,11,18,27,33
1500000US380170102041,380170102041,"Block Group 1, Census Tract 102.04, Cass County, North Dakota",317,0,9,46,32,32,14,22,99,64,57,35,33,59,59,48,0,9,55,69,58,53,0,9
1500000US380170102042,380170102042,"Block Group 2, Census Tract 102.04, Cass County, North Dakota",504,0,12,169,101,101,68,79,110,38,43,72,57,25,25,31,0,12,72,51,118,52,10,17
1500000US380170103031,380170103031,"Block Group 1, Census Tract 103.03, Cass County, North Dakota",271,0,9,72,64,48,8,13,65,65,64,0,9,38,0,9,38,37,35,59,61,60,0,9
1500000US380170103032,380170103032,"Block Group 2, Census Tract 103.03, Cass County, North Dakota",350,10,17,73,21,26,52,39,181,124,65,57,47,31,17,27,14,23,13,21,42,31,0,9
1500000US380170103033,380170103033,"Block Group 3, Census Tract 103.03, Cass County, North Dakota",358,32,37,99,32,37,67,70,175,112,78,63,52,0,0,9,0,9,26,28,26,29,0,9
1500000US380170103034,380170103034,"Block Group 4, Census Tract 103.03, Cass County, North Dakota",25,0,9,0,0,9,0,9,25,0,9,25,39,0,0,9,0,9,0,9,0,9,0,9
1500000US380170103051,380170103051,"Block Group 1, Census Tract 103.05, Cass County, North Dakota",1164,0,9,223,35,38,188,92,277,191,86,86,51,301,148,111,153,111,208,113,155,91,0,9
1500000US380170103052,380170103052,"Block Group 2, Census Tract 103.05, Cass County, North Dakota",327,0,9,71,0,9,71,50,122,80,77,42,43,26,9,15,17,28,72,89,36,35,0,9
1500000US380170103061,380170103061,"Block Group 1, Census Tract 103.06, Cass County, North Dakota",595,76,59,90,27,26,63,73,97,63,62,34,43,59,40,43,19,22,15,23,245,102,13,21
1500000US380170103062,380170103062,"Block Group 2, Census Tract 103.06, Cass County, North Dakota",222,23,36,93,22,22,71,40,39,0,9,39,44,18,18,22,0,9,12,20,37,28,0,9
1500000US380170103071,380170103071,"Block Group 1, Census Tract 103.07, Cass County, North Dakota",23,0,9,0,0,9,0,9,6,0,9,6,10,11,11,13,0,9,6,9,0,9,0,9
1500000US380170401001,380170401001,"Block Group 1, Census Tract 401, Cass County, North Dakota",39,4,8,18,15,16,3,4,3,0,9,3,3,2,2,3,0,9,1,3,2,3,9,7
1500000US380170401002,380170401002,"Block Group 2, Census Tract 401, Cass County, North Dakota",59,7,10,20,15,13,5,7,4,4,6,0,9,10,8,11,2,3,2,3,0,9,16,11
1500000US380170401003,380170401003,"Block Group 3, Census Tract 401, Cass County, North Dakota",7,0,9,0,0,9,0,9,0,0,9,0,9,2,0,9,2,4,0,9,0,9,5,6
1500000US380170402001,380170402001,"Block Group 1, Census Tract 402, Cass County, North Dakota",24,5,7,3,3,5,0,9,12,12,9,0,9,0,0,9,0,9,2,3,2,3,0,9
1500000US380170402002,380170402002,"Block Group 2, Census Tract 402, Cass County, North Dakota",110,11,10,35,17,13,18,13,21,2,3,19,16,8,8,9,0,9,6,7,10,10,19,14
1500000US380170403001,380170403001,"Block Group 1, Census Tract 403, Cass County, North Dakota",59,5,8,17,0,9,17,28,0,0,9,0,9,7,7,11,0,9,23,23,0,9,7,11
1500000US380170403002,380170403002,"Block Group 2, Census Tract 403, Cass County, North Dakota",112,0,9,22,0,9,22,29,44,44,41,0,9,5,0,9,5,8,17,27,24,27,0,9
1500000US380170403003,380170403003,"Block Group 3, Census Tract 403, Cass County, North Dakota",61,2,3,3,3,5,0,9,0,0,9,0,9,0,0,9,0,9,1,3,3,4,52,47
1500000US380170404001,380170404001,"Block Group 1, Census Tract 404, Cass County, North Dakota",28,0,9,2,2,3,0,9,9,9,12,0,9,0,0,9,0,9,4,5,0,9,13,13
1500000US380170404002,380170404002,"Block Group 2, Census Tract 404, Cass County, North Dakota",13,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,3,5,0,9,10,14
1500000US380170404003,380170404003,"Block Group 3, Census Tract 404, Cass County, North Dakota",17,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,17,17
1500000US380170405001,380170405001,"Block Group 1, Census Tract 405, Cass County, North Dakota",202,0,9,137,4,7,133,197,10,4,7,6,9,0,0,9,0,9,10,9,0,9,45,65
1500000US380170405002,380170405002,"Block Group 2, Census Tract 405, Cass County, North Dakota",3740,311,193,1380,532,189,848,310,797,485,238,312,151,616,259,147,357,209,102,99,439,165,95,83
1500000US380170405003,380170405003,"Block Group 3, Census Tract 405, Cass County, North Dakota",14,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,14,22
1500000US380170406001,380170406001,"Block Group 1, Census Tract 406, Cass County, North Dakota",96,7,11,42,2,3,40,33,16,8,12,8,9,0,0,9,0,9,0,9,10,9,21,19
1500000US380170406002,380170406002,"Block Group 2, Census Tract 406, Cass County, North Dakota",5,0,9,3,3,4,0,9,0,0,9,0,9,2,0,9,2,3,0,9,0,9,0,9
1500000US380170406003,380170406003,"Block Group 3, Census Tract 406, Cass County, North Dakota",74,14,18,25,8,8,17,16,16,13,16,3,4,0,0,9,0,9,0,9,12,10,7,6
